implementing_agency,change_period,shift_t,mix_js,change_score,n_periods,works_before,works_after,rs_before,rs_after,change_description
SIROHI(DISTRICT COLLECTOR SIROHI_IDA),2025Q2,3.298869444661039,0.37128150410288846,0.6285969518458533,6,36,69,21848178.0,24915943.0,SIROHI(DISTRICT COLLECTOR SIROHI_IDA): behaviour shifts at 2025Q2 (archetype-mix JS 0.37); 3% round-number amounts -> 63% round-number amounts. Before/after shown for review — a change-point is not evidence of wrongdoing.
JALPAIGURI(DISTRICT MAGISTRATE JALPAIGURI_IDA),2025Q2,3.5648359060410217,0.3230260214857118,0.6249003428200632,6,76,31,90411830.0,79892058.0,JALPAIGURI(DISTRICT MAGISTRATE JALPAIGURI_IDA): behaviour shifts at 2025Q2 (archetype-mix JS 0.32); 38 works/quarter -> 8 works/quarter; 5% round-number amounts -> 7% round-number amounts; 47% repeated descriptions -> 0% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
SUNDARGARH(DISTRICT COLLECTOR SUNDARGARH_IDA),2025Q4,3.2305352862799084,0.3844226485523676,0.6210253078866547,9,321,35,175098256.0,15690000.0,SUNDARGARH(DISTRICT COLLECTOR SUNDARGARH_IDA): behaviour shifts at 2025Q4 (archetype-mix JS 0.38); 46 works/quarter -> 18 works/quarter; 1% repeated descriptions -> 2% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA),2024Q3,2.937851957228794,0.5144873857411018,0.6162897516880467,6,87,90,99815644.0,118243041.0,UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA): behaviour shifts at 2024Q3 (archetype-mix JS 0.51); 44 works/quarter -> 22 works/quarter; 8% round-number amounts -> 27% round-number amounts. Before/after shown for review — a change-point is not evidence of wrongdoing.
SOUTH WEST(COMMISSIONER MCD SOUTH WEST),2025Q4,2.9183888877560813,0.5398048202713928,0.6133967560699543,6,35,18,54302647.0,29494270.0,SOUTH WEST(COMMISSIONER MCD SOUTH WEST): behaviour shifts at 2025Q4 (archetype-mix JS 0.54); 0% round-number amounts -> 5% round-number amounts; 25% repeated descriptions -> 0% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
NAGAON(DEPUTY COMMISSIONER NOWGONG_IDA),2024Q4,3.7782055103412526,0.2985563414752314,0.6109917720165622,9,174,129,50448663.0,72894000.0,NAGAON(DEPUTY COMMISSIONER NOWGONG_IDA): behaviour shifts at 2024Q4 (archetype-mix JS 0.30); 58 works/quarter -> 22 works/quarter; 1% repeated descriptions -> 0% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
PANCH MAHALS(DISTRICT COLLECTOR PANCHMAHALS_IDA),2025Q1,2.8858604664759158,0.5408734769570556,0.6066092061237462,8,175,582,31447280.0,142912164.0,PANCH MAHALS(DISTRICT COLLECTOR PANCHMAHALS_IDA): behaviour shifts at 2025Q1 (archetype-mix JS 0.54); 58 works/quarter -> 116 works/quarter; 1% repeated descriptions -> 15% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
GUNA(District Collector Guna_IDA),2024Q4,2.7550172235619605,0.8212495991931257,0.6063052257615089,7,72,111,42888282.0,93291999.0,GUNA(District Collector Guna_IDA): behaviour shifts at 2024Q4 (archetype-mix JS 0.82); 24 works/quarter -> 28 works/quarter; 50% round-number amounts -> 82% round-number amounts; 60% repeated descriptions -> 13% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
ROHTAS(District Planning Officer Rohtas_IDA),2024Q1,3.0920895224569884,0.4103576204862993,0.6056597892326743,9,92,123,59189198.0,89452540.0,ROHTAS(District Planning Officer Rohtas_IDA): behaviour shifts at 2024Q1 (archetype-mix JS 0.41); 46 works/quarter -> 18 works/quarter; 33% repeated descriptions -> 7% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
BARPETA(DEPUTY COMMISSIONER BARPETA 1),2024Q4,3.2229536739714466,0.3652265322748269,0.6010228579391188,7,189,36,95819000.0,44150000.0,BARPETA(DEPUTY COMMISSIONER BARPETA 1): behaviour shifts at 2024Q4 (archetype-mix JS 0.37); 63 works/quarter -> 9 works/quarter. Before/after shown for review — a change-point is not evidence of wrongdoing.
Kushinagar(DISTRICT MAGISTRATE KUSHINAGAR PADRAUNA_IDA),2025Q1,4.0471205187793675,0.28838879818935337,0.6009316613452339,10,341,227,144314253.0,190349149.0,Kushinagar(DISTRICT MAGISTRATE KUSHINAGAR PADRAUNA_IDA): behaviour shifts at 2025Q1 (archetype-mix JS 0.29); 68 works/quarter -> 45 works/quarter; 14% round-number amounts -> 44% round-number amounts; 1% repeated descriptions -> 3% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
Uttar Dinajpur(DISTRICT MAGISTRATE UTTAR DINAJPUR_IDA),2025Q3,3.049896955444943,0.42298475171980154,0.6006787256440222,6,152,364,78763943.0,134462539.0,Uttar Dinajpur(DISTRICT MAGISTRATE UTTAR DINAJPUR_IDA): behaviour shifts at 2025Q3 (archetype-mix JS 0.42); 51 works/quarter -> 121 works/quarter; 52% round-number amounts -> 84% round-number amounts; 39% repeated descriptions -> 8% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
SHIVPURI(District Collector Shivpuri_IDA),2025Q1,2.728765410920637,0.8252715869935796,0.5998196077674061,6,57,15,37748228.0,17798120.0,SHIVPURI(District Collector Shivpuri_IDA): behaviour shifts at 2025Q1 (archetype-mix JS 0.83); 14 works/quarter -> 8 works/quarter; 21% round-number amounts -> 86% round-number amounts. Before/after shown for review — a change-point is not evidence of wrongdoing.
KANPUR NAGAR(DISTRICT MAGISTRAE KANPUR NAGAR_IDA),2025Q4,2.7353818085996133,0.7934711780768826,0.5992461782463507,8,188,109,252153995.0,63814736.0,KANPUR NAGAR(DISTRICT MAGISTRAE KANPUR NAGAR_IDA): behaviour shifts at 2025Q4 (archetype-mix JS 0.79); 31 works/quarter -> 54 works/quarter; 2% round-number amounts -> 12% round-number amounts; 1% repeated descriptions -> 0% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
DARJEELING(DISTRICT MAGISTRATE DARJEELING_IDA),2025Q4,3.0580004069988727,0.41106649008832946,0.5921366372670058,6,219,10,132922137.0,11299808.0,DARJEELING(DISTRICT MAGISTRATE DARJEELING_IDA): behaviour shifts at 2025Q4 (archetype-mix JS 0.41); 55 works/quarter -> 5 works/quarter; 3% repeated descriptions -> 0% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
NTR(DISTRICT COLLECTOR NTR_IDA),2025Q2,2.960863372802996,0.44880428020250474,0.5909532345680397,6,92,42,58532297.0,57641306.0,NTR(DISTRICT COLLECTOR NTR_IDA): behaviour shifts at 2025Q2 (archetype-mix JS 0.45); 46 works/quarter -> 10 works/quarter; 10% round-number amounts -> 73% round-number amounts. Before/after shown for review — a change-point is not evidence of wrongdoing.
SITAMARHI(DISTRICT PLANNING OFFICER SITAMARHI_IDA),2024Q1,2.8713959543230874,0.5124946677553581,0.5907128956841479,8,183,209,107787012.0,78219205.0,SITAMARHI(DISTRICT PLANNING OFFICER SITAMARHI_IDA): behaviour shifts at 2024Q1 (archetype-mix JS 0.51); 92 works/quarter -> 35 works/quarter; 0% round-number amounts -> 26% round-number amounts; 23% repeated descriptions -> 13% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
FAZILKA(DEPUTY COMMISSIONER FAZILKA_IDA),2025Q3,2.802042220563178,0.5840992726046453,0.5888712693035928,7,242,49,60180769.0,16028147.0,FAZILKA(DEPUTY COMMISSIONER FAZILKA_IDA): behaviour shifts at 2025Q3 (archetype-mix JS 0.58); 60 works/quarter -> 16 works/quarter; 11% round-number amounts -> 34% round-number amounts; 54% repeated descriptions -> 17% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
DAUSA(DISTRICT COLLECTOR DAUSA_IDA),2025Q2,2.7927033783191564,0.5963679578244592,0.5877957353797425,7,175,79,73629608.0,59138506.0,DAUSA(DISTRICT COLLECTOR DAUSA_IDA): behaviour shifts at 2025Q2 (archetype-mix JS 0.60); 58 works/quarter -> 20 works/quarter; 39% round-number amounts -> 31% round-number amounts; 0% repeated descriptions -> 2% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
JIND(DEPUTY COMMISSIONER JIND),2025Q1,3.591524740647983,0.29595000855445186,0.5852132002919264,8,156,92,56191109.0,58564360.0,JIND(DEPUTY COMMISSIONER JIND): behaviour shifts at 2025Q1 (archetype-mix JS 0.30); 52 works/quarter -> 18 works/quarter; 28% round-number amounts -> 44% round-number amounts; 4% repeated descriptions -> 1% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
LUCKNOW(DISTRICT MAGISTRAE LUCKNOW_IDA),2025Q1,3.0597814043852205,0.40044012816153873,0.5841479901208639,9,232,180,188099582.0,252094164.0,LUCKNOW(DISTRICT MAGISTRAE LUCKNOW_IDA): behaviour shifts at 2025Q1 (archetype-mix JS 0.40); 58 works/quarter -> 36 works/quarter; 3% round-number amounts -> 16% round-number amounts; 0% repeated descriptions -> 18% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
PATHANAMTHITTA(DISTRICT COLLECTOR PATHANAMTHITTA_IDA),2024Q4,3.6698463948126085,0.29368222163100977,0.5838877839075147,13,192,141,107551119.00999999,66088954.0,PATHANAMTHITTA(DISTRICT COLLECTOR PATHANAMTHITTA_IDA): behaviour shifts at 2024Q4 (archetype-mix JS 0.29); 12% round-number amounts -> 75% round-number amounts; 0% repeated descriptions -> 2% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
CHHOTAUDEPUR(DISTRICT COLLECTOR CHHOTA UDEPUR_IDA),2023Q3,3.870974023734159,0.2850822682009245,0.5826448728270357,12,98,292,7316193.0,89759525.0,CHHOTAUDEPUR(DISTRICT COLLECTOR CHHOTA UDEPUR_IDA): behaviour shifts at 2023Q3 (archetype-mix JS 0.29); 20 works/quarter -> 42 works/quarter; 33% round-number amounts -> 68% round-number amounts; 1% repeated descriptions -> 28% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
JANJGIR-CHAMPA(DISTRICT COLLECTOR JANJGIR CHAMPA_IDA),2025Q1,2.6855317749255474,0.8136992284593785,0.5819903188079888,8,83,58,37740826.0,39451008.0,JANJGIR-CHAMPA(DISTRICT COLLECTOR JANJGIR CHAMPA_IDA): behaviour shifts at 2025Q1 (archetype-mix JS 0.81); 21 works/quarter -> 14 works/quarter; 31% round-number amounts -> 83% round-number amounts; 16% repeated descriptions -> 0% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
MANDLA(DISTRICT COLLECTOR MANDLA_IDA),2023Q4,3.153161508484296,0.36428306471501526,0.5809063335576113,7,13,174,3638768.0,74220891.0,MANDLA(DISTRICT COLLECTOR MANDLA_IDA): behaviour shifts at 2023Q4 (archetype-mix JS 0.36); 6 works/quarter -> 35 works/quarter; 42% round-number amounts -> 76% round-number amounts. Before/after shown for review — a change-point is not evidence of wrongdoing.
HANUMAKONDA(DISTRICT COLLECTOR HANUMAKONDA_IDA),2024Q4,2.8617946520985003,0.5018498353591219,0.5798117286024835,7,88,104,26913254.0,42553419.0,HANUMAKONDA(DISTRICT COLLECTOR HANUMAKONDA_IDA): behaviour shifts at 2024Q4 (archetype-mix JS 0.50); 44 works/quarter -> 21 works/quarter; 23% round-number amounts -> 66% round-number amounts; 0% repeated descriptions -> 3% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
TIRUCHIRAPPALLI(DISTRICT COLLECTOR TIRUCHIRAPPALLI_IDA),2024Q1,3.4466034398927996,0.30279366063062574,0.5784825493901952,10,157,111,114598996.0,160922459.0,TIRUCHIRAPPALLI(DISTRICT COLLECTOR TIRUCHIRAPPALLI_IDA): behaviour shifts at 2024Q1 (archetype-mix JS 0.30); 52 works/quarter -> 16 works/quarter; 20% round-number amounts -> 43% round-number amounts. Before/after shown for review — a change-point is not evidence of wrongdoing.
SIKAR(DISTRICT COLLECTOR SIKAR_IDA),2024Q4,3.3052371662212527,0.3258544211157954,0.5772668410187752,10,86,167,68321769.0,117411679.0,SIKAR(DISTRICT COLLECTOR SIKAR_IDA): behaviour shifts at 2024Q4 (archetype-mix JS 0.33); 22 works/quarter -> 28 works/quarter; 24% round-number amounts -> 43% round-number amounts; 1% repeated descriptions -> 0% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
MATHURA(DISTRICT MAGISTRAE MATHURA_IDA),2025Q1,2.761915705387041,0.5814578833198036,0.5766364247309831,8,158,101,161162672.0,96729943.0,MATHURA(DISTRICT MAGISTRAE MATHURA_IDA): behaviour shifts at 2025Q1 (archetype-mix JS 0.58); 53 works/quarter -> 20 works/quarter; 4% round-number amounts -> 22% round-number amounts. Before/after shown for review — a change-point is not evidence of wrongdoing.
RAE BARELI(DISTRICT MAGISTRATE RAE BARELI_IDA),2024Q3,3.278721372316704,0.332754717986102,0.5748017071573643,11,1478,172,121348280.86,70251464.0,RAE BARELI(DISTRICT MAGISTRATE RAE BARELI_IDA): behaviour shifts at 2024Q3 (archetype-mix JS 0.33); 370 works/quarter -> 25 works/quarter; 2% round-number amounts -> 20% round-number amounts; 0% repeated descriptions -> 0% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
KALLAKURICHI(District Collector Kallakurichi_IDA),2025Q4,3.2137051008946513,0.349724554802077,0.5744895693623362,7,213,22,152820986.0,10510000.0,KALLAKURICHI(District Collector Kallakurichi_IDA): behaviour shifts at 2025Q4 (archetype-mix JS 0.35); 43 works/quarter -> 11 works/quarter; 19% round-number amounts -> 50% round-number amounts. Before/after shown for review — a change-point is not evidence of wrongdoing.
BASTAR(DISTRICT COLLECTOR BASTAR_IDA),2025Q2,2.8491767154881615,0.507588629358057,0.5744895693623362,6,183,65,87032276.0,23925580.0,BASTAR(DISTRICT COLLECTOR BASTAR_IDA): behaviour shifts at 2025Q2 (archetype-mix JS 0.51); 46 works/quarter -> 32 works/quarter; 36% round-number amounts -> 18% round-number amounts; 1% repeated descriptions -> 0% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
JANGOAN(DISTRICT COLLECTOR JANGAON_IDA),2025Q1,3.1443481589488176,0.3583528927617926,0.5696295620929483,8,174,95,48709422.0,33519005.0,JANGOAN(DISTRICT COLLECTOR JANGAON_IDA): behaviour shifts at 2025Q1 (archetype-mix JS 0.36); 44 works/quarter -> 24 works/quarter; 35% round-number amounts -> 82% round-number amounts; 0% repeated descriptions -> 25% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
HOOGHLY(DISTRICT MAGISTRATE HOOGHLY_IDA),2024Q3,4.2992914419825405,0.27084389836226136,0.5696164416736933,10,579,378,222211193.82999998,276682052.44,HOOGHLY(DISTRICT MAGISTRATE HOOGHLY_IDA): behaviour shifts at 2024Q3 (archetype-mix JS 0.27); 193 works/quarter -> 54 works/quarter; 1% round-number amounts -> 15% round-number amounts; 67% repeated descriptions -> 15% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
Dakshin Dinajpur(DISTRICT MAGISTRATE DINAJPUR DAKSHIN_IDA),2024Q4,2.9213786259506715,0.4336789236848805,0.5695070930915898,7,328,179,60079266.0,77385805.8,Dakshin Dinajpur(DISTRICT MAGISTRATE DINAJPUR DAKSHIN_IDA): behaviour shifts at 2024Q4 (archetype-mix JS 0.43); 164 works/quarter -> 36 works/quarter; 31% round-number amounts -> 68% round-number amounts; 6% repeated descriptions -> 16% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
SRI MUKTSAR SAHIB(DEPUTY COMMISSIONER SRI MUKTSAR SAHIB_IDA),2025Q4,3.0874994202759884,0.3767836112624275,0.5657590536263685,9,176,14,77508320.7,4004000.0,SRI MUKTSAR SAHIB(DEPUTY COMMISSIONER SRI MUKTSAR SAHIB_IDA): behaviour shifts at 2025Q4 (archetype-mix JS 0.38); 25 works/quarter -> 7 works/quarter; 17% repeated descriptions -> 0% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
BIDAR(DEPUTY COMMISSIONER BIDAR_IDA),2025Q1,2.8497665217390384,0.4762364769380611,0.5614626915068192,6,453,103,76905972.0,59281500.0,BIDAR(DEPUTY COMMISSIONER BIDAR_IDA): behaviour shifts at 2025Q1 (archetype-mix JS 0.48); 151 works/quarter -> 34 works/quarter; 53% round-number amounts -> 63% round-number amounts; 0% repeated descriptions -> 45% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA),2025Q4,3.3182042523212205,0.30918530273302824,0.5604412438026863,8,1185,123,728815488.0,118325735.0,MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA): behaviour shifts at 2025Q4 (archetype-mix JS 0.31); 198 works/quarter -> 62 works/quarter; 8% round-number amounts -> 39% round-number amounts; 34% repeated descriptions -> 26% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
Pandhurna(District Collector Pandhurna_IDA),2025Q2,2.948106112860045,0.41592799329220964,0.5595292513349859,6,98,36,16701838.0,13825000.0,Pandhurna(District Collector Pandhurna_IDA): behaviour shifts at 2025Q2 (archetype-mix JS 0.42); 49 works/quarter -> 9 works/quarter. Before/after shown for review — a change-point is not evidence of wrongdoing.
CACHAR(DEPUTY COMMISSIONER CACHAR_IDA),2025Q4,3.292837937584494,0.31640545264382214,0.5590481886493712,6,191,26,96670998.33,31800000.0,CACHAR(DEPUTY COMMISSIONER CACHAR_IDA): behaviour shifts at 2025Q4 (archetype-mix JS 0.32); 48 works/quarter -> 13 works/quarter; 40% round-number amounts -> 100% round-number amounts. Before/after shown for review — a change-point is not evidence of wrongdoing.
SIDDIPET(District Collector Siddipet_IDA),2025Q1,2.9242031004031213,0.4225448197571955,0.5580982107861062,8,121,289,26103371.0,144111353.0,SIDDIPET(District Collector Siddipet_IDA): behaviour shifts at 2025Q1 (archetype-mix JS 0.42); 40 works/quarter -> 58 works/quarter; 2% repeated descriptions -> 0% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
NAGAUR(DISTRICT COLLECTOR NAGAUR_IDA),2025Q2,3.2034728854451626,0.33044913532281617,0.5512534273807099,7,334,59,162155348.0,35575541.0,NAGAUR(DISTRICT COLLECTOR NAGAUR_IDA): behaviour shifts at 2025Q2 (archetype-mix JS 0.33); 84 works/quarter -> 20 works/quarter; 22% round-number amounts -> 51% round-number amounts. Before/after shown for review — a change-point is not evidence of wrongdoing.
Shahid Bhagat Singh Nagar(Deputy Commissioner Shahid Bhagat Singh Nagar_ida),2025Q2,3.6569461784236608,0.27804199621435816,0.548807627372511,7,126,33,37569687.0,12851750.0,Shahid Bhagat Singh Nagar(Deputy Commissioner Shahid Bhagat Singh Nagar_ida): behaviour shifts at 2025Q2 (archetype-mix JS 0.28); 32 works/quarter -> 11 works/quarter; 84% round-number amounts -> 98% round-number amounts. Before/after shown for review — a change-point is not evidence of wrongdoing.
JAJAPUR(DISTRICT COLLECTOR JAJPUR_IDA),2025Q1,3.3125730322067617,0.3003827904074129,0.5480853952135821,8,246,156,121499340.0,71690000.0,JAJAPUR(DISTRICT COLLECTOR JAJPUR_IDA): behaviour shifts at 2025Q1 (archetype-mix JS 0.30); 82 works/quarter -> 31 works/quarter; 50% round-number amounts -> 99% round-number amounts; 6% repeated descriptions -> 0% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
DEORIA(DISTRICT MAGISTRATE DEORIA),2024Q3,2.8314379086809107,0.4669566527280881,0.5464876543688347,9,164,223,106831012.0,193753122.0,DEORIA(DISTRICT MAGISTRATE DEORIA): behaviour shifts at 2024Q3 (archetype-mix JS 0.47); 82 works/quarter -> 32 works/quarter; 48% round-number amounts -> 30% round-number amounts. Before/after shown for review — a change-point is not evidence of wrongdoing.
SHEIKHPURA(DISTRICT PLANNING OFFICER SHEIKHPURA_IDA),2024Q4,2.6140907054988136,0.8825074776030376,0.5460316018364519,6,56,69,20803872.0,26505342.0,SHEIKHPURA(DISTRICT PLANNING OFFICER SHEIKHPURA_IDA): behaviour shifts at 2024Q4 (archetype-mix JS 0.88); 28 works/quarter -> 17 works/quarter; 19% round-number amounts -> 42% round-number amounts; 0% repeated descriptions -> 87% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
RANGA REDDY(DISTRICT COLLECTOR RANGAREDDY_IDA),2025Q4,2.6244151471809505,0.7105303676802561,0.5444873167831874,9,356,37,147781098.0,11549722.0,RANGA REDDY(DISTRICT COLLECTOR RANGAREDDY_IDA): behaviour shifts at 2025Q4 (archetype-mix JS 0.71); 51 works/quarter -> 18 works/quarter; 46% round-number amounts -> 93% round-number amounts; 9% repeated descriptions -> 0% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
SUPAUL(DISTRICT PLANNING OFFICER SUPAUL_IDA),2024Q3,2.886029201712188,0.4197088487437271,0.5426586734823394,7,43,128,48306240.0,131932633.0,SUPAUL(DISTRICT PLANNING OFFICER SUPAUL_IDA): behaviour shifts at 2024Q3 (archetype-mix JS 0.42); 22 works/quarter -> 26 works/quarter; 0% round-number amounts -> 6% round-number amounts; 0% repeated descriptions -> 62% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
KARIMNAGAR(DISTRICT COLLECTOR KARIMNAGAR_IDA),2024Q1,3.0294571396291117,0.36881144325683524,0.5419512310148114,7,18,469,1924200.0,166187968.0,KARIMNAGAR(DISTRICT COLLECTOR KARIMNAGAR_IDA): behaviour shifts at 2024Q1 (archetype-mix JS 0.37); 9 works/quarter -> 94 works/quarter; median Rs.10^4.64 -> median Rs.10^5.37; 40% round-number amounts -> 88% round-number amounts. Before/after shown for review — a change-point is not evidence of wrongdoing.
LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA),2024Q4,3.104571331986287,0.34628253184587415,0.5386822546070842,9,472,388,126066274.0,151518560.0,LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA): behaviour shifts at 2024Q4 (archetype-mix JS 0.35); 157 works/quarter -> 65 works/quarter; 55% repeated descriptions -> 20% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
DOHAD(DISTRICT COLLECTOR DOHAD_IDA),2024Q4,3.6113604306955716,0.27337795829420963,0.5353142107297206,7,553,183,108386746.0,65949273.0,DOHAD(DISTRICT COLLECTOR DOHAD_IDA): behaviour shifts at 2024Q4 (archetype-mix JS 0.27); 276 works/quarter -> 37 works/quarter; 44% round-number amounts -> 82% round-number amounts. Before/after shown for review — a change-point is not evidence of wrongdoing.
PASHCHIM CHAMPARAN(DISTRICT PLANNING OFFICER WEST CHAMPARANBETTIAH_IDA),2025Q3,3.2437958523688835,0.3057530548382558,0.5348952071696486,9,346,120,252813193.0,88375608.0,PASHCHIM CHAMPARAN(DISTRICT PLANNING OFFICER WEST CHAMPARANBETTIAH_IDA): behaviour shifts at 2025Q3 (archetype-mix JS 0.31); 58 works/quarter -> 40 works/quarter; 7% round-number amounts -> 28% round-number amounts; 5% repeated descriptions -> 29% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
DARBHANGA(DISTRICT PLANNING OFFICER DARBANGA_IDA),2025Q2,2.614837994598464,0.6969015408512393,0.5335194995886529,9,489,66,244568764.0,38644469.0,DARBHANGA(DISTRICT PLANNING OFFICER DARBANGA_IDA): behaviour shifts at 2025Q2 (archetype-mix JS 0.70); 82 works/quarter -> 22 works/quarter; 3% round-number amounts -> 46% round-number amounts; 10% repeated descriptions -> 0% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
BANSWARA(DISTRICT COLLECTOR BANSWARA_IDA),2024Q4,3.057760914277492,0.35147753012702854,0.5278439733520518,6,57,50,37264294.0,61463648.0,BANSWARA(DISTRICT COLLECTOR BANSWARA_IDA): behaviour shifts at 2024Q4 (archetype-mix JS 0.35); 28 works/quarter -> 12 works/quarter; 34% round-number amounts -> 86% round-number amounts; 0% repeated descriptions -> 4% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
KANNUR(DISTRICT COLLECTOR KANNUR_IDA),2024Q1,3.6979099172797625,0.2636846875481508,0.5261137512070785,10,16,831,15797922.0,549056195.0,KANNUR(DISTRICT COLLECTOR KANNUR_IDA): behaviour shifts at 2024Q1 (archetype-mix JS 0.26); 8 works/quarter -> 104 works/quarter; 22% round-number amounts -> 51% round-number amounts; 0% repeated descriptions -> 2% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
RAICHUR(DEPUTY COMMISSIONER RAICHUR_IDA),2024Q1,2.621458992294353,0.5994241463363528,0.5249096435850379,7,146,121,65049361.0,67701548.0,RAICHUR(DEPUTY COMMISSIONER RAICHUR_IDA): behaviour shifts at 2024Q1 (archetype-mix JS 0.60); 73 works/quarter -> 24 works/quarter; 15% repeated descriptions -> 2% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
Khandwa (East Nimar)(DISTRICT COLLECTOR EAST NIMAR_IDA),2024Q3,2.714444904699525,0.46968976114770494,0.5247577490166879,6,87,139,32729460.0,49749351.0,Khandwa (East Nimar)(DISTRICT COLLECTOR EAST NIMAR_IDA): behaviour shifts at 2024Q3 (archetype-mix JS 0.47); 44 works/quarter -> 35 works/quarter; 21% round-number amounts -> 48% round-number amounts; 0% repeated descriptions -> 69% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
INDORE(DISTRICT COLLECTOR INDORE_IDA),2025Q1,2.7100175727714415,0.47692047307772306,0.5229125165837972,9,275,325,113554050.92,148004879.0,INDORE(DISTRICT COLLECTOR INDORE_IDA): behaviour shifts at 2025Q1 (archetype-mix JS 0.48); 7% round-number amounts -> 29% round-number amounts; 15% repeated descriptions -> 1% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
IDUKKI(DISTRICT COLLECTOR IDUKKI_IDA),2025Q1,3.6779421705584388,0.26340815577110066,0.5229125165837972,10,111,85,80859079.0,100278321.0,IDUKKI(DISTRICT COLLECTOR IDUKKI_IDA): behaviour shifts at 2025Q1 (archetype-mix JS 0.26); 22 works/quarter -> 17 works/quarter; 13% round-number amounts -> 81% round-number amounts; 2% repeated descriptions -> 0% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
VARANASI(DISTRICT MAGISTRAE VARANASI_IDA),2024Q1,2.625670972874057,0.5564333985182277,0.5185109788655218,6,574,623,103765294.39,178443626.68,VARANASI(DISTRICT MAGISTRAE VARANASI_IDA): behaviour shifts at 2024Q1 (archetype-mix JS 0.56); 287 works/quarter -> 156 works/quarter; 0% round-number amounts -> 1% round-number amounts; 53% repeated descriptions -> 0% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
LAKHIMPUR(DEPUTY COMMISSIONER LAKHIMPUR_IDA),2024Q1,3.9956543641680637,0.2510174811010771,0.5177512976806529,6,57,61,20774251.0,35095909.0,LAKHIMPUR(DEPUTY COMMISSIONER LAKHIMPUR_IDA): behaviour shifts at 2024Q1 (archetype-mix JS 0.25); 28 works/quarter -> 15 works/quarter; 82% round-number amounts -> 99% round-number amounts; 2% repeated descriptions -> 0% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
